               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10606,            0.038973,            0.090305,                   0,                   0,                   0,                   0,            0.063537,            0.025241,            0.056784,              0.0955,              0.0005,              0.0005
                   1,            0.098119,            0.037246,            0.085532,           0.0001858,            0.071429,           0.0066701,            0.001334,            0.055801,            0.021702,             0.05586,            0.090089,           0.0010891,           0.0010891
                   2,            0.089817,            0.036173,            0.084901,          0.00085005,             0.35714,           0.0018546,          0.00031793,               0.046,            0.017014,            0.051578,            0.084666,           0.0016663,           0.0016663
                   3,            0.078561,            0.036137,            0.076115,           0.0019879,             0.69048,            0.010844,           0.0025116,            0.042033,            0.014707,            0.051877,            0.079232,           0.0022317,           0.0022317
                   4,            0.078001,            0.035105,            0.079262,            0.002803,             0.85714,             0.01318,           0.0030302,            0.038066,            0.012683,            0.053286,            0.073785,           0.0027852,           0.0027852
                   5,             0.07145,            0.031043,            0.073714,           0.0032826,                   1,            0.021029,            0.005546,            0.039168,            0.011118,            0.052824,            0.068327,           0.0033267,           0.0033267
                   6,            0.071912,            0.028826,            0.071309,           0.0035635,                   1,            0.041972,            0.015249,            0.032927,            0.010484,            0.054526,            0.062856,           0.0038565,           0.0038565
                   7,            0.062342,            0.028196,            0.071081,           0.0030219,             0.85714,            0.033672,            0.016081,            0.036261,            0.010108,             0.05579,            0.057374,           0.0043743,           0.0043743
                   8,            0.059074,            0.024661,            0.067233,           0.0034604,                   1,            0.045168,            0.018358,            0.031318,            0.010607,             0.05741,             0.05188,           0.0048802,           0.0048802
                   9,            0.061624,            0.022248,            0.065483,            0.013749,             0.85714,            0.047102,            0.010967,            0.042778,            0.011449,            0.057351,            0.046374,           0.0053743,           0.0053743
                  10,             0.06437,            0.023426,            0.063226,           0.0092749,                   1,            0.059393,            0.022081,            0.037821,            0.012395,            0.058118,            0.040857,           0.0058565,           0.0058565
                  11,            0.064671,            0.021072,            0.060553,            0.010721,             0.92857,            0.050597,             0.01552,            0.039431,            0.011721,            0.058691,            0.035327,           0.0063268,           0.0063268
                  12,             0.06488,            0.020094,            0.061264,            0.032158,             0.71429,            0.078426,            0.030181,            0.059796,           0.0087513,            0.059989,            0.029785,           0.0067852,           0.0067852
                  13,            0.073106,            0.018765,            0.056578,           0.0037586,             0.92857,            0.022667,           0.0043671,            0.038244,           0.0068096,            0.058697,            0.024232,           0.0072318,           0.0072318
                  14,            0.058113,             0.02018,            0.057226,           0.0049653,                   1,            0.025574,           0.0086627,            0.044815,           0.0061289,            0.059247,            0.018666,           0.0076665,           0.0076665
                  15,            0.055114,            0.020401,            0.056007,             0.51984,                 0.5,            0.050279,            0.011526,            0.058483,           0.0064076,            0.058901,            0.013089,           0.0080892,           0.0080892
                  16,            0.065284,            0.019979,            0.054356,             0.51681,                 0.5,             0.06862,            0.024525,            0.040018,           0.0069187,            0.059135,            0.008416,            0.008416,            0.008416
                  17,            0.060127,            0.018875,             0.05917,              0.5179,                 0.5,            0.049022,            0.021015,            0.032412,           0.0064619,            0.060358,            0.008416,            0.008416,            0.008416
                  18,             0.05811,            0.017993,            0.053308,             0.51277,                 0.5,            0.026887,            0.011922,            0.060283,           0.0073745,            0.061031,            0.008317,            0.008317,            0.008317
                  19,            0.061662,             0.01844,            0.055146,             0.51229,             0.33333,            0.028499,            0.015006,            0.045649,           0.0070331,             0.06051,            0.008218,            0.008218,            0.008218
                  20,            0.061189,            0.017479,            0.054359,           0.0049338,             0.92857,            0.026279,             0.01203,             0.04038,           0.0047634,            0.059001,            0.008119,            0.008119,            0.008119
